"""Curso"",""Nombre"",""Credito"",""Departamento"""
"CC5511,""Fundamentos e Ingeniería de Interacciones Humano-Computador"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC5601,""Preparación y Evaluación de Proyectos TI"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC5609,""Taller de Desarrollo Comercial"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC5613,""Taller de Comunicación Efectiva: Caso Práctico de Lanzamiento de Producto"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC5614,""Herramientas para el Trabajo en Equipo"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC5618,""Taller de Transformación Digital, una Visión Empresarial"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC5701,""Informática Médica"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC5901,""Práctica Profesional II"",""7"",""CC - Departamento de Ciencias de la Computación"""
"CC5905,""Trabajo Dirigido"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC6205,""Procesamiento de Lenguaje Natural"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC6502,""Taller de Usabilidad de Interfaces de Software"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC6908,""Introducción al Trabajo de Título"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC6909,""Trabajo de Título"",""21"",""CC - Departamento de Ciencias de la Computación"""
"CC7010,""Pasantía de Investigación I"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC7015,""Pasantía de Investigación II"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC7020,""Investigación Dirigida"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7126,""Análisis y Verificación de Programas"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7220,""La Web de Datos"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7221,""Reconocimiento Visual con Deep Learning"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7320,""Estructuras de Datos Comprimidas"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7325,""Compresión de Texto"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7515,""Computación en GPU"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7910,""Investigación en Ciencia de la Computación (Métodos, Técnicas, Perspectivas)"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC7920,""Introducción a la Tesis"",""18"",""CC - Departamento de Ciencias de la Computación"""
"CC7970,""Trabajo de Tesis I"",""18"",""CC - Departamento de Ciencias de la Computación"""
"CC7980,""Trabajo de Tesis II"",""18"",""CC - Departamento de Ciencias de la Computación"""
"CC8910,""Trabajo de Tesis I"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC8920,""Trabajo de Tesis II"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC8930,""Trabajo de Tesis III"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC8940,""Trabajo de Tesis IV"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC8950,""Trabajo de Tesis V"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC8960,""Trabajo de Tesis VI"",""30"",""CC - Departamento de Ciencias de la Computación"""
"CC63D,""Seminario de Actualización Tecnológica I"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC63G,""Introducción a la Ingeniería de Software"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC63H,""Ingeniería de Requisitos"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC63I,""Análisis y Diseño Orientado a Objetos"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC63J,""Arquitectura de Software"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC63K,""Programación Orientada a Objetos"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66A,""Programación Estadística"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66B,""Visualización de Datos"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66C,""Recuperación de Información"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66E,""Minería de Datos"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66G,""Taller de Proyecto"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66H,""Aprendizaje de Máquinas y Deep Learning"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC66I,""Big Data"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC73B,""Taller de Software"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC79E,""Seminario de Proyectos de TI I"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC79F,""Seminario de Proyectos de TI II"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC79G,""Proyecto de Grado I"",""21"",""CC - Departamento de Ciencias de la Computación"""
"CC79H,""Proyecto de Grado II"",""21"",""CC - Departamento de Ciencias de la Computación"""
"CI3111,""Mecánica Estructural"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3141,""Análisis de Sistemas de Transporte"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3162,""Mecánica de Fluidos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3201,""Análisis de Estructuras Isostáticas"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3202,""Mecánica de Sólidos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3501,""Materiales de Construcción"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI3502,""Topografía"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4101,""Hidráulica"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4102,""Ingeniería Ambiental"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4201,""Hormigón Estructural"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4202,""Análisis Estructural"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4203,""Dinámica de Estructuras"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4301,""Análisis de Sistemas de Transporte"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4401,""Geotecnia"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4402,""Geomecánica"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI4901,""Práctica de Topografía"",""7"",""CI - Departamento de Ingeniería Civil"""
"CI5101,""Hidrología"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5102,""Calidad del Agua"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5103,""Análisis de Sistemas Ambientales"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5104,""Hidráulica Aplicada al Diseño de Obras"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5111,""Seminario de Recursos Hídricos y Medio Ambiente IV"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5115,""Agua en Minería"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5201,""Diseño Sísmico de Estructuras"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5202,""Estructuras de Acero"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5206,""Proyecto de Hormigón Armado"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5212,""Mecánica de Sólidos II"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5221,""Hormigón Estructural II"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5224,""Diseño y Construcción en Madera"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5301,""Optimización de Redes"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5302,""Procesos Estocásticos en Transporte"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5303,""Microeconomía"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5304,""Economía de Transporte"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5311,""Logística y Producción"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5401,""Fundaciones"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5412,""Mecánica de Rocas en Obras Civiles"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5415,""Seminario de Geotecnia"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5501,""Métodos Constructivos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5502,""Planificación y Control de Proyectos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5503,""Tecnología del Hormigón"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5512,""Gestión y Mejoramiento de la Calidad"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5513,""Gestión Contractual"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5533,""Diseño y Construcción de Puentes"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5534,""Construcción de Túneles"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5601,""Construcción de Centrales Hidroeléctricas"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5605,""Ingeniería Civil Aplicada a ala Operación Minera"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5606,""Fundamentos de Sustentabilidad"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI5801,""Taller de Redacción y Comprensión de Textos"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5802,""Tecnologías de Información"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5803,""Trabajo Dirigido en Ingeniería Civil"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5804,""Fundamentos de Seguridad Ocupacional"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5805,""Aspectos Legales en la Ingeniería Civil"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5807,""Derecho y Regulación Ambiental"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5809,""Taller de Liderazgo y Trabajo en equipo para Ingenieros Civiles"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5810,""Oratoria para Ingenieros Civiles"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI5901,""Práctica Profesional II"",""7"",""CI - Departamento de Ingeniería Civil"""
"CI6101,""Procesos de Transporte en Sistemas Acuáticos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6102,""Proyecto Integrado de Recursos Hídricos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6103,""Proyecto de Sistemas Hidráulicos/Sanitarios/Ambiental"",""6"",""CI - Departamento de Ingeniería Civil"""
