"|","|__Codigo","|__Seccion","|__Profesores__001","|__Profesores__002","|__Profesores__003","|__Profesores__004","|__Profesores__005","|__Profesores__006","|__Profesores__007","|__Profesores__008","|__Profesores__009","|__Profesores__010","|__Profesores__011","|__Profesores__012"
"388","EI0011","1","","","","","","","","","","","",""
"389","EI0012","1","","","","","","","","","","","",""
"390","EI0013","1","","","","","","","","","","","",""
"391","EI0014","1","","","","","","","","","","","",""
"392","EI0015","1","","","","","","","","","","","",""
"393","EI0031","1","","","","","","","","","","","",""
"394","EI0032","1","","","","","","","","","","","",""
"395","EI1090","1","","","","","","","","","","","",""
"396","EI2090","1","","","","","","","","","","","",""
"397","EI2201","1","Mónica Lipari V.","","","","","","","","","","",""
"398","EI2201","2","Carla Aro Navarro","","","","","","","","","","",""
"399","EI2201","3","Carla Aro Navarro","","","","","","","","","","",""
"400","EI2201","4","Carla Aro Navarro","","","","","","","","","","",""
"401","EI2202","1","Ámbar Romero","","","","","","","","","","",""
"402","EI2202","2","Carolina Santander G.","","","","","","","","","","",""
"403","EI2202","3","Ámbar Romero","","","","","","","","","","",""
"404","EI2202","4","Ana María Carvallo","","","","","","","","","","",""
"405","EI2202","5","Margarita Santibañez","","","","","","","","","","",""
"406","EI2202","6","Verónica Montecinos P.","","","","","","","","","","",""
"407","EI2202","7","Margarita Santibañez","","","","","","","","","","",""
"408","EI2301","1","Jaime Rojas A.","","","","","","","","","","",""
"409","EI2301","2","Jaime Rojas A.","","","","","","","","","","",""
"410","EI2301","3","Jaime Rojas A.","","","","","","","","","","",""
"411","EI2302","1","Jaime Rojas A.","","","","","","","","","","",""
"412","EI3203","1","Mónica Lipari V.","","","","","","","","","","",""
"413","EI3203","2","Ana María Carvallo","","","","","","","","","","",""
"414","EI3203","3","Ana María Carvallo","","","","","","","","","","",""
"415","EI3203","4","Elba Navarro C.","","","","","","","","","","",""
"416","EI3203","5","Ámbar Romero","","","","","","","","","","",""
"417","EI3203","6","Juan Cuevas L.","Elba Navarro C.","","","","","","","","","",""
"418","EI3203","7","Marcela O'Ryan M.","","","","","","","","","","",""
"419","EI3203","8","","","","","","","","","","","",""
"420","EI3203","9","Marcela O'Ryan M.","","","","","","","","","","",""
"421","EI3203","10","Álvaro Meza M.","","","","","","","","","","",""
"422","EI3203","11","Mónica Lipari V.","","","","","","","","","","",""
"423","EI3203","12","","","","","","","","","","","",""
"424","EI3203","13","Margarita Santibañez","","","","","","","","","","",""
"425","EI3203","14","","","","","","","","","","","",""
"426","EI3203","15","Ana María Carvallo","","","","","","","","","","",""
"427","EI3203","16","","","","","","","","","","","",""
"428","EI3203","17","Mónica Lipari V.","","","","","","","","","","",""
"429","EI4204","1","Marta Araya","","","","","","","","","","",""
"430","EI4204","2","Marcela O'Ryan M.","","","","","","","","","","",""
"431","EI4204","3","Marta Araya","","","","","","","","","","",""
"432","EI4204","4","Carolina Santander G.","","","","","","","","","","",""
"433","EI4204","5","Marcela O'Ryan M.","","","","","","","","","","",""
"434","EI4204","6","Mónica Lipari V.","","","","","","","","","","",""
"435","EI4204","7","Carolina Santander G.","","","","","","","","","","",""
"436","EI4204","8","Álvaro Meza M.","","","","","","","","","","",""
"437","EI4204","9","Mónica Lipari V.","","","","","","","","","","",""
"438","EI4204","10","Verónica Montecinos P.","","","","","","","","","","",""
"439","EI4204","11","Ámbar Romero","","","","","","","","","","",""
"440","EI4204","12","Verónica Montecinos P.","","","","","","","","","","",""
"441","EI4204","13","Álvaro Meza M.","","","","","","","","","","",""
"442","EI4204","14","Ámbar Romero","","","","","","","","","","",""
"443","EI4204","15","Marcela O'Ryan M.","","","","","","","","","","",""
"444","EI4204","16","Ana María Carvallo","","","","","","","","","","",""
"445","EI4204","17","Pilar Mai V.","","","","","","","","","","",""
"446","EI4204","18","Margarita Santibañez","","","","","","","","","","",""
"447","EI4204","19","Marta Araya","","","","","","","","","","",""
"448","EI4204","20","Álvaro Meza M.","","","","","","","","","","",""
"449","EI4204","21","Margarita Santibañez","","","","","","","","","","",""
"450","EI4205","1","Ámbar Romero","","","","","","","","","","",""
"451","EI4205","2","Carolina Santander G.","","","","","","","","","","",""
"452","EI4205","3","Carla Aro Navarro","","","","","","","","","","",""
"453","EI4205","4","Carolina Santander G.","","","","","","","","","","",""
"454","EI4205","5","Mónica Lipari V.","Juan Cuevas L.","","","","","","","","","",""
"455","EI4205","6","Álvaro Meza M.","","","","","","","","","","",""
"456","EI4205","7","Mónica Lipari V.","","","","","","","","","","",""
"457","EI4205","8","Marta Araya","","","","","","","","","","",""
"458","EI4205","9","Álvaro Meza M.","","","","","","","","","","",""
"459","EI4205","10","Mónica Lipari V.","","","","","","","","","","",""
"460","EI4205","11","Marcela O'Ryan M.","","","","","","","","","","",""
"461","EI4205","12","Carolina Santander G.","","","","","","","","","","",""
"462","EI4205","13","Marcela O'Ryan M.","","","","","","","","","","",""
"463","EI4205","14","Carolina Santander G.","","","","","","","","","","",""
"464","EI4205","15","Ana María Carvallo","","","","","","","","","","",""
"465","EI4205","16","Margarita Santibañez","","","","","","","","","","",""
"466","EI4205","17","Ana María Carvallo","","","","","","","","","","",""
"467","EI4205","18","Ana María Carvallo","","","","","","","","","","",""
"468","EI4205","19","Ámbar Romero","","","","","","","","","","",""
"469","EI4205","20","Margarita Santibañez","","","","","","","","","","",""
"470","EI4205","21","Juan Cuevas L.","Ámbar Romero","","","","","","","","","",""
"471","EI4205","23","Mónica Lipari V.","","","","","","","","","","",""
"472","FT1101","1","Paula Morgado","","","","","","","","","","",""
"473","FT1101","2","Paula Morgado","","","","","","","","","","",""
"474","TESTDE","1","Pilar Mai V.","Carmen Núñez C.","Ingrid Cartes F.","Enrique Sologuren","","","","","","","",""
"475","TESTDE","2","Pilar Mai V.","Carmen Núñez C.","Ingrid Cartes F.","Enrique Sologuren","Elba Navarro C.","","","","","","",""
"476","TESTDE","3","Pilar Mai V.","Carmen Núñez C.","Ingrid Cartes F.","Enrique Sologuren","Elba Navarro C.","","","","","","",""
"477","TESTDE","4","Pilar Mai V.","Carmen Núñez C.","Ingrid Cartes F.","Enrique Sologuren","Elba Navarro C.","","","","","","",""
"478","TESTDF","1","Pilar Mai V.","Ingrid Cartes F.","Elba Navarro C.","","","","","","","","",""
"479","TESTDI","1","Pilar Mai V.","Ingrid Cartes F.","Elba Navarro C.","","","","","","","","",""
"480","TESTDI","2","Pilar Mai V.","Ingrid Cartes F.","Elba Navarro C.","","","","","","","","",""
"481","TESTDI","3","Pilar Mai V.","Ingrid Cartes F.","Elba Navarro C.","","","","","","","","",""
"482","TESTDI","4","Pilar Mai V.","Ingrid Cartes F.","Elba Navarro C.","","","","","","","","",""
"483","CD1100","1","Jorge Castillo G.","Christian Basáez V.","","","","","","","","","",""
"484","CD1100","2","Jorge Castillo G.","Pedro B. Mirauda","","","","","","","","","",""
"485","CD1100","3","Rafael Molina S.","Maria Jose Sandoval S.","","","","","","","","","",""
"486","CD1100","4","Julio Lira","Christian Basáez V.","","","","","","","","","",""
"487","CD1100","5","Horacio Buldrini D'Ottone","Gonzalo Torres E.","","","","","","","","","",""
"488","CD1100","6","Marlena Murillo S.","Sergio Sergio Felipe Donoso Cisternas","","","","","","","","","",""
"489","CD1100","7","Horacio Buldrini D'Ottone","Pedro B. Mirauda","","","","","","","","","",""
"490","CD1100","8","Sergio Sergio Felipe Donoso Cisternas","Julio Lira","","","","","","","","","",""
"491","CD1100","9","Maria Jose Sandoval S.","Cecilia Mujica M.","","","","","","","","","",""
"492","CD1100","10","James Mcphee T.","Luisa Pinto L.","","","","","","","","","",""
"493","CD1100","11","Rudy Arriagada F.","Eugenio Bravo C.","","","","","","","","","",""
"494","CD1201","1","Marlena Murillo S.","Rafael Molina S.","","","","","","","","","",""
"495","CD2201","1","Rafael Molina S.","Andrés Bercovich","","","","","","","","","",""
"496","CD2201","2","Katherine Muñoz T.","Paula Callejas P.","","","","","","","","","",""
"497","CD2201","3","Cristian Burr R.","Felipe Ñancupil S.","Fernando Nowajewski Vega","","","","","","","","",""
"498","CD2201","4","Cristian Burr R.","Felipe Ñancupil S.","Fernando Nowajewski Vega","","","","","","","","",""
"499","CD2201","5","Natalia Álvarez J.","","","","","","","","","","",""
"500","CD3001","1","Natalia Álvarez J.","Cristóbal Ostornol G.","","","","","","","","","",""
"501","EI3001","1","Natalia Álvarez J.","Cristóbal Ostornol G.","Francisco Casado","","","","","","","","",""
"502","EI4001","1","Natalia Álvarez J.","Cristóbal Ostornol G.","Francisco Casado","","","","","","","","",""
"503","EI4002","1","Eugenio Bravo C.","","","","","","","","","","",""
"504","IO4100","1","Felipe Ñancupil S.","Fernando Nowajewski Vega","","","","","","","","","",""
"505","EI3002","1","Reynaldo Cabezas Cifuentes","","","","","","","","","","",""
"506","EL3003","1","Rodrigo Moreno V.","Patricio Mendoza A.","","","","","","","","","",""
"507","EL3003","2","Rodrigo Moreno V.","Patricio Mendoza A.","","","","","","","","","",""
"508","EL3004","1","Marcos Diaz Q.","","","","","","","","","","",""
"509","EL3005","1","Claudio A. Pérez","","","","","","","","","","",""
"510","EL3006","1","Álvaro Silva M.","","","","","","","","","","",""
"511","EL3101","1","Pablo Estevez V.","","","","","","","","","","",""
"512","EL3101","2","Santiago Bradford V.","","","","","","","","","","",""
"513","EL3102","1","Francisco Rivera","","","","","","","","","","",""
"514","EL3102","2","Francisco Rivera","","","","","","","","","","",""
"515","EL3103","1","Ernest A. Michael","","","","","","","","","","",""
"516","EL3103","2","Benjamin Jacard H.","","","","","","","","","","",""
"517","EL3104","1","Jorge Silva Sánchez","Marcos Orchard C.","","","","","","","","","",""
"518","EL3105","1","Patricio Valenzuela C.","","","","","","","","","","",""
"519","EL3105","2","Jorge Ignacio Sandoval","","","","","","","","","","",""
"520","EL3105","3","Francisco Casado","","","","","","","","","","",""
"521","EL4001","1","Rodrigo Moreno V.","","","","","","","","","","",""
"522","EL4002","1","Ricardo Finger C.","","","","","","","","","","",""
"523","EL4002","2","Ricardo Finger C.","","","","","","","","","","",""
"524","EL4003","1","Jorge Silva Sánchez","Marcos Orchard C.","","","","","","","","","",""
"525","EL4004","1","Constanza Ahumada","","","","","","","","","","",""
"526","EL4005","1","Néstor Becerra Y.","","","","","","","","","","",""
"527","EL4005","2","Cesár Azurdia M.","","","","","","","","","","",""
"528","EL4030","1","Andrés Caba","","","","","","","","","","",""
"529","EL4030","2","Javier Ruiz del Solar","","","","","","","","","","",""
"530","EL4102","1","Francisco Rivera","","","","","","","","","","",""
"531","EL4103","1","Rodrigo Palma B.","","","","","","","","","","",""
"532","EL4105","1","Doris Saez H.","","","","","","","","","","",""
"533","EL4106","1","Javier Ruiz del Solar","","","","","","","","","","",""
"534","EL4107","1","Claudio Estevez","","","","","","","","","","",""
"535","EL4108","1","Marcos Diaz Q.","","","","","","","","","","",""
"536","EL4901","1","Santiago Bradford V.","","","","","","","","","","",""
"537","EL4901","2","Benjamin Jacard H.","","","","","","","","","","",""
"538","EL5001","1","Sergio Marchant K.","","","","","","","","","","",""
"539","EL5001","2","Sergio Marchant K.","","","","","","","","","","",""
"540","EL5001","3","Sergio Bunel T.","","","","","","","","","","",""
"541","EL5002","1","Augusto Lucero Alday","","","","","","","","","","",""
"542","EL5002","2","Eugenio Bravo C.","Francisco Casado","","","","","","","","","",""
"543","EL5003","1","Arturo Otto V.","Oriol Tucas A.","","","","","","","","","",""
"544","EL5003","2","Patricio Valenzuela C.","Juan Vásquez C.","","","","","","","","","",""
"545","EL5003","3","Jorge López H.","","","","","","","","","","",""
"546","EL5003","4","Arturo Otto V.","Oriol Tucas A.","","","","","","","","","",""
"547","EL5004","1","Augusto Lucero Alday","","","","","","","","","","",""
"548","EL5004","2","Eugenio Bravo C.","Francisco Casado","","","","","","","","","",""
"549","EL5004","3","Francisco Rivera","","","","","","","","","","",""
"550","EL5030","1","Andrés Caba","","","","","","","","","","",""
"551","EL5030","2","Rodrigo Palma B.","","","","","","","","","","",""
"552","EL5030","3","Javier Ruiz del Solar","","","","","","","","","","",""
"553","EL5202","1","Helmuth Thiemer W.","","","","","","","","","","",""
"554","EL5203","1","Pablo Gonzalez Inostroza","Sebastián Ferretto","","","","","","","","","",""
"555","EL5204","1","Pablo Gonzalez Inostroza","Sebastián Ferretto","","","","","","","","","",""
"556","EL5205","1","Doris Saez H.","Constanza Ahumada","","","","","","","","","",""
"557","EL5206","1","Claudio A. Pérez","Cristián J. Figueroa S.","","","","","","","","","",""
"558","EL5206","2","Carlos Navarro C.","Martín Adams","","","","","","","","","",""
"559","EL5207","1","Claudio Estevez","","","","","","","","","","",""
"560","EL5900","1","Álvaro Silva M.","","","","","","","","","","",""
"561","EL5901","1","Santiago Bradford V.","","","","","","","","","","",""
"562","EL5901","2","Cristián Hermansen R.","","","","","","","","","","",""
"563","EL5901","3","Alberto Castro R.","","","","","","","","","","",""
"564","EL6000","1","Nicolás Mira","","","","","","","","","","",""
"565","EL6010","1","Raúl Álvarez","Nelson Morales O.","","","","","","","","","",""
"566","EL6011","1","Augusto Lucero Alday","","","","","","","","","","",""
"567","EL6015","1","Pablo Andrés Medina Cofre","","","","","","","","","","",""
"568","EL6018","1","Rodrigo Palma B.","Andrés Vicent S.","","","","","","","","","",""
"569","EL6020","1","Andrés Caba","","","","","","","","","","",""
"570","EL6020","2","Sergio Astudillo T.","","","","","","","","","","",""
"571","EL6020","3","Jorge Urrutia","","","","","","","","","","",""
"572","EL6023","1","Guillermo Vasquez Y.","","","","","","","","","","",""
"573","EL6025","1","Pedro Miquel D.","","","","","","","","","","",""
"574","EL6030","1","Andrés Caba","","","","","","","","","","",""
"575","EL6030","2","Javier Ruiz del Solar","","","","","","","","","","",""
"576","EL6045","1","Eduardo Vera S.","","","","","","","","","","",""
"577","EL6046","1","Aldo Di Biase F.","","","","","","","","","","",""
"578","EL6048","1","Alexis Yañez Inostroza","","","","","","","","","","",""
"579","EL6050","1","Jose Gonzalez G.","","","","","","","","","","",""
"580","EL6801","1","Andrés Caba","","","","","","","","","","",""
"581","EL6802","1","Andrés Caba","","","","","","","","","","",""
"582","EL6803","1","Andrés Caba","","","","","","","","","","",""
"583","EL6908","1","Francisco Rivera","","","","","","","","","","",""
"584","EL6908","2","Sandra Céspedes U.","","","","","","","","","","",""
"585","EL6908","3","Francisco Rivera","","","","","","","","","","",""
"586","EL6908","4","Francisco Rivera","","","","","","","","","","",""
"587","EL6909","1","Andrés Caba","","","","","","","","","","",""
"588","EL6909","2","Patricio Mendoza A.","","","","","","","","","","",""
"589","EL7020","1","Deninson Fuentes del Campo","","","","","","","","","","",""
"590","EL7021","1","Javier Ruiz del Solar","","","","","","","","","","",""
"591","EL7023","1","Juan Carlos Travieso T.","","","","","","","","","","",""
"592","EL7026","1","Ernest A. Michael","","","","","","","","","","",""
"593","EL7027","1","Doris Saez H.","","","","","","","","","","",""
"594","EL7031","1","Martín Adams","","","","","","","","","","",""
"595","EL7032","1","Roberto Cárdenas Dobson","","","","","","","","","","",""
"596","EL7037","1","Pablo Estevez V.","","","","","","","","","","",""
"597","EL7038","1","Claudio Held B.","","","","","","","","","","",""
"598","EL7039","1","Francisco Rivera","","","","","","","","","","",""
"599","EL7041","1","Cesár Azurdia M.","","","","","","","","","","",""
"600","EL7043","1","Claudio Estevez","","","","","","","","","","",""
"601","EL7044","1","Sandra Céspedes U.","","","","","","","","","","",""
"602","EL7045","1","Patricio Mendoza A.","","","","","","","","","","",""
"603","EL7049","1","Marcos Diaz Q.","","","","","","","","","","",""
"604","EL7050","1","Diane G.","","","","","","","","","","",""
"605","EL7052","1","Claudia Rahmann Z.","","","","","","","","","","",""
"606","EL7806","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"607","EL7850","1","Andrés Caba","","","","","","","","","","",""
"608","EL7907","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"609","EL7908","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"610","DPDIIGEWCBO10","1","Eduardo Kohler E.","","","","","","","","","","",""
"611","DPDIIGEWKLC01","1","Pablo González S.","","","","","","","","","","",""
"612","DPDIIGEWKLC02","1","Jaime Gatica B.","","","","","","","","","","",""
"613","DPDIIGEWKLC03","1","Michael Jorratt D.","","","","","","","","","","",""
"614","DPDIIGEWKLC05","1","Sara Arancibia C.","","","","","","","","","","",""
"615","DPDIIGEWKLC06","1","Eduardo Contreras V.","","","","","","","","","","",""
"616","CECSPDIMPN01","1","Christian Potocnjak C.","Mónica Manhey M.","","","","","","","","","",""
"617","CEDICLEANC07","1","José Salvatierra G.","","","","","","","","","","",""
"618","CEDIIDGPWK01","1","Christian Willatt H.","","","","","","","","","","",""
"619","CEPOSADSER01","1","Sebastián Santana R.","","","","","","","","","","",""
"620","CEPOSIRISO01","1","Alejandro Gonzalez P.","","","","","","","","","","",""
"621","CEPOSIRISO02","1","Alejandro Gonzalez P.","","","","","","","","","","",""
"622","CEPOSIRISO02","2","Alejandro Gonzalez P.","","","","","","","","","","",""
"623","DPDIECCDBC01","1","Nicolás Huneeus L.","Francisca Muñoz B.","Laura Gallardo K.","René Darío Garreaud Salazar","Maisa Rojas Corradi","Roberto Rondanelli","Juan P. Boisier","","","","",""
"624","DPDIECCDBC04","1","Bárbara Morales A.","","","","","","","","","","",""
"625","DPDIECCDBC05","1","Raul O'ryan G.","Rodrigo Palma B.","Manuel Diaz Romero","Marcia Montedonico","Carlos Benavides F.","","","","","","",""
"626","DPDIECCDBC06","1","Rodolfo Sapiains","Andrea Rudnick G.","Anahí Urquiza","Pilar Moraga Sariego","Rodrigo Arriagada C.","Antoine Maillet","","","","","",""
"627","DPDIIGEVCB01","1","Pamela Jervis","","","","","","","","","","",""
"628","DPDIIGEVCB02","1","Jaime Gatica B.","","","","","","","","","","",""
"629","DPDIIGEVCB03","1","Iván Álvarez V.","","","","","","","","","","",""
"630","DPDIIGEVCB04","1","Sara Arancibia C.","","","","","","","","","","",""
"631","DPDIIGEVCB05","1","Cristián Binimelis S.","","","","","","","","","","",""
"632","DPDIIGEVCB06","1","Claudia Vargas P.","Cristián Binimelis S.","","","","","","","","","",""
"633","DPDIIGEWCBO6","1","Eduardo Contreras V.","Joan Massons","","","","","","","","","",""
"634","DPDIIGEWCBO7","1","Cristián Binimelis S.","","","","","","","","","","",""
"635","DPDIIGEWCBO8","1","Francisco Tubino C.","","","","","","","","","","",""
"636","DPDIIGEWCBO9","1","Cristián Binimelis S.","","","","","","","","","","",""
"637","DPDIMINGADM1","1","Sofia Rebolledo L.","Patricio Cavieres Rojas","Kimie Suzuki Morales","","","","","","","","",""
"638","DPDIMINGADM2","1","Alejandro Muñoz J.","Luis Felipe Orellana E.","","","","","","","","","",""
"639","DPDIMINGADM3","1","Eduardo Rojas V.","Javier Vallejos M.","","","","","","","","","",""
"640","DPDIMINGADM6","1","Javier Vallejos M.","Lorena Burgos C.","","","","","","","","","",""
"641","DPDIMINGMM03","1","Javier Vallejos M.","Raúl Castro R.","Kimie Suzuki Morales","","","","","","","","",""
"642","DPDIMINGMM09","1","Brian Townley Callejas","Jacques Wiertz","Christian Ihle","Willy Kracht","","","","","","","",""
"643","DPDIMINGMM10","1","Sebastián Troncoso B.","Marcelo Vargas V.","","","","","","","","","",""
"644","DPDIMINGMM13","1","Eduardo Magri V.","Brian Townley Callejas","Antoni Magri","","","","","","","","",""
"645","DPDIMINGMM14","1","Xavier Emery","Mohammadali Malekitehrani","","","","","","","","","",""
"646","CEDIIINGP01","1","María Pía Martín","","","","","","","","","","",""
"647","CEPOSTCTI01","1","Sandra Zepeda A.","Sergio Sergio Felipe Donoso Cisternas","Eugenio Bravo C.","Maria Jose Sandoval S.","Mitzi Vielma L.","","","","","","",""
"648","CEPOSTCTI01","2","Sandra Zepeda A.","Sergio Sergio Felipe Donoso Cisternas","Eugenio Bravo C.","Maria Jose Sandoval S.","Mitzi Vielma L.","","","","","","",""
"649","DEPOSINNC01","1","Eugenio Bravo C.","","","","","","","","","","",""
"650","DEPOSINNC02","1","Julio Lira","","","","","","","","","","",""
"651","DEPOSINNC03","1","Maria Jose Sandoval S.","","","","","","","","","","",""
"652","DEPOSINNC04","1","Rafael Molina S.","","","","","","","","","","",""
"653","DEPOSINNC05","1","Félix Lizama G.","","","","","","","","","","",""
"654","DEPOSINNC06","1","Rubén Jacob D.","","","","","","","","","","",""
"655","DEPOSINNC07","1","Mitzi Vielma L.","","","","","","","","","","",""
"656","DEPOSINNC08","1","Sergio Sergio Felipe Donoso Cisternas","","","","","","","","","","",""
"657","DPDGHMMA001","1","Carlos Parraguez D.","Sofia Rebolledo L.","Gabriel Easton","Igor Aguirre A.","Valentina Flores Aqueveque","Alida Pérez F.","Néstor Gutiérrez D.","Dolorinda Daniele","","","",""
"658","DPDICDPIC01","1","Alejandro Polanco C.","","","","","","","","","","",""
"659","DPDICDPIC02","1","José Luis Cousiño","William Wragg L.","Leon Lopez A.","","","","","","","","",""
"660","DPDICDPIC03","1","Andrés Fuentes T.","Tomás Moya P.","","","","","","","","","",""
"661","DPDICDPIC04","1","Ruben Boroschek Krauskopf","Roberto Gesche S.","","","","","","","","","",""
"662","DPDICIEDS01","1","Fabian Rojas B.","","","","","","","","","","",""
"663","DPDICIEDS02","1","Francisco Hernández P.","Rafael Ruiz G.","","","","","","","","","",""
"664","DPDICIEDS03","1","Leonardo Massone S.","Fabian Rojas B.","","","","","","","","","",""
"665","DPDICIEDS04","1","Felipe Ochoa Cornejo","","","","","","","","","","",""
"666","DPDICIEDS05","1","Leonardo Massone S.","","","","","","","","","","",""
"667","DPDICIEDS06","1","Ricardo Herrera M.","","","","","","","","","","",""
"668","DPDICIEDS07","1","Fabian Rojas B.","","","","","","","","","","",""
"669","DPDICIEDS08","1","Rodrigo Retamales Saavedra","","","","","","","","","","",""
"670","DPDIIGEWK09","1","Eduardo Kohler E.","","","","","","","","","","",""
"671","DPDIIHDHC01","1","","","","","","","","","","","",""
"672","DPDIIHDHC01","2","","","","","","","","","","","",""
"673","DPDIIHDHC01","3","","","","","","","","","","","",""
"674","DPDIIHDHC02","1","","","","","","","","","","","",""
"675","DPDIIHDHC02","2","","","","","","","","","","","",""
"676","DPDIIHDHC02","3","","","","","","","","","","","",""
"677","DPDIIHDHC03","1","","","","","","","","","","","",""
"678","DPDIIHDHC03","2","","","","","","","","","","","",""
"679","DPDIIHDHC03","3","","","","","","","","","","","",""
"680","DPDIIHDHC04","1","","","","","","","","","","","",""
"681","DPDIIHDHC04","2","","","","","","","","","","","",""
"682","DPDIIHDHC04","3","","","","","","","","","","","",""
"683","DPDIIHDHC05","1","","","","","","","","","","","",""
"684","DPDIIHDHC05","2","","","","","","","","","","","",""
"685","DPDIIHDHC05","3","","","","","","","","","","","",""
"686","DPDIMEOGA01","1","Rodrigo Ortuzar M.","","","","","","","","","","",""
"687","DPDIMEOGA02","1","Rodrigo Pascual J.","","","","","","","","","","",""
"688","DPDIMEOGA03","1","Rodrigo Pascual J.","","","","","","","","","","",""
"689","DPDIMEOGA04","1","Rodrigo Pascual J.","","","","","","","","","","",""
"690","DPDIMEOGA05","1","Enrique López Droguett","","","","","","","","","","",""
"691","DPDIMEOGA06","1","Viviana Meruane N.","","","","","","","","","","",""
"692","DPDIMEOGA07","1","Rodrigo Pascual J.","","","","","","","","","","",""
"693","DPDIMEOGA08","1","Juan Andrés Pucheu M.","","","","","","","","","","",""
"694","DPDIMEOGA09","1","Rodrigo Pascual J.","","","","","","","","","","",""
"695","DPDIMINEG01","1","Brian Townley Callejas","Mauricio Garrido","","","","","","","","","",""
"696","DPDIMINEG02","1","Xavier Emery","Nadia Mery G.","Mohammadali Malekitehrani","","","","","","","","",""
"697","DPDIMINEM01","1","Patricio Meller B.","","","","","","","","","","",""
"698","DPDIMINEM02","1","","","","","","","","","","","",""
"699","DPDIMINEM05","1","José Munizaga R.","","","","","","","","","","",""
"700","DPDIMINEM08","1","","","","","","","","","","","",""
"701","DPDIMINEM10","1","José Munizaga R.","","","","","","","","","","",""
"702","DPDIMINEM11","1","José Munizaga R.","","","","","","","","","","",""
"703","CEDICBIM01","1","Carlos Patuelli V.","Ricardo Rojas P.","","","","","","","","","",""
"704","CEDIIACA04","1","Juan Castellón M.","Alex Caqueo","Iván Braga C.","","","","","","","","",""
"705","CEDIIACA05","1","Juan Castellón M.","Alex Caqueo","Iván Braga C.","","","","","","","","",""
"706","CEDIINYC01","1","Sebastián Conde D.","","","","","","","","","","",""
"707","CEEPECRP01","1","","","","","","","","","","","",""
"708","CEPOSIES01","1","Pía Lombardo","Natalia Álvarez J.","","","","","","","","","",""
"709","CEPOSPBI01","1","Claudio Thomas H.","","","","","","","","","","",""
"710","DPDICTES01","1","Ezequiel Zielonka M.","Francisco Schmidt A.","","","","","","","","","",""
"711","DPDICTES02","1","Sofia Rebolledo L.","Alejandra Villouta R.","","","","","","","","","",""
"712","DPDICTES03","1","Ruben Boroschek Krauskopf","Jose Galera F.","","","","","","","","","",""
"713","DPDICTES11","1","Francisco Schmidt A.","Ana Cooper M.","Héctor González G.","","","","","","","","",""
"714","DPDICTES41","1","Carlos Espinoza C.","Felipe Ochoa Cornejo","","","","","","","","","",""
"715","DPDICTES42","1","Juan Carlos Pozo R.","Giorgio Piaggio M.","","","","","","","","","",""
"716","DPDIIGDE09","1","Eduardo Kohler E.","","","","","","","","","","",""
"717","DPDIIPEP01","1","Jaime Gatica B.","","","","","","","","","","",""
"718","DPDIIPEP02","1","Iván Álvarez V.","","","","","","","","","","",""
"719","DPDIIPEP03","1","Richard Weber H.","Carlos Reveco","","","","","","","","","",""
"720","DPDIIPEP04","1","Eduardo Contreras V.","","","","","","","","","","",""
"721","DPDIIPEP05","1","Federico Margarit T.","Oscar Saavedra","","","","","","","","","",""
"722","DPDIIPEP06","1","William Young H.","","","","","","","","","","",""
"723","DPDIIPEP07","1","Eduardo Contreras V.","Pablo Daud M.","","","","","","","","","",""
"724","DPDIIPEP08","1","J. Miguel Cruz","","","","","","","","","","",""
"725","DPDIMCMG01","1","Enrique López Droguett","","","","","","","","","","",""
"726","DPDIMCMG03","1","Rodrigo Pascual J.","","","","","","","","","","",""
"727","DPDIMCMG07","1","Enrique López Droguett","","","","","","","","","","",""
"728","DPDIMCMG08","1","Viviana Meruane N.","","","","","","","","","","",""
"729","DPDIMCMG09","1","Enrique López Droguett","","","","","","","","","","",""
"730","DPDIMCMG14","1","Enrique López Droguett","","","","","","","","","","",""
"731","DPDIMCMG16","1","Enrique López Droguett","Viviana Meruane N.","","","","","","","","","",""
"732","DPDIMCMG17","1","Rodrigo Pascual J.","","","","","","","","","","",""
"733","DPDIMCMG19","1","Viviana Meruane N.","","","","","","","","","","",""
"734","DPDIMCMG20","1","Marcos Orchard C.","Viviana Meruane N.","","","","","","","","","",""
"735","DPDIMCMG21","1","Rodrigo Pascual J.","","","","","","","","","","",""
"736","DPEPECAC01","1","Nicolás Huneeus L.","Laura Gallardo K.","René Darío Garreaud Salazar","Maisa Rojas Corradi","","","","","","","",""
"737","DPEPECAC02","1","René Darío Garreaud Salazar","Ana María Ugarte C.","Catalina Amigo","","","","","","","","",""
"738","DPEPECAC03","1","Andrea Rudnick G.","Paulina Aldunce I.","Jordan Harris","","","","","","","","",""
"739","DPEPECAC04","1","Jordan Harris","","","","","","","","","","",""
"740","DPEPECAC05","1","","","","","","","","","","","",""
"741","CEDIILM01","1","Jorge Fuenzalida B.","Iván Rubio P.","","","","","","","","","",""
"742","DPDICIR01","1","Luis Valenzuela P.","","","","","","","","","","",""
"743","DPDICIR02","1","Sofia Rebolledo L.","Diana Comte S.","Marisol Lara C.","","","","","","","","",""
"744","DPDICIR03","1","José Campaña Z.","Felipe Ochoa Cornejo","César Pasten P.","","","","","","","","",""
