"Codigo","Seccion","Tipo","Dia","Inicio","Final"
"CC5614","1","Catedra","Jueves","14:30","16:00"
"CC5614","2","Catedra","Jueves","16:15","17:45"
"CC5618","1","Catedra","Jueves","18:00","19:30"
"CC5701","1","Catedra","Miércoles","18:00","19:30"
"CC5901","1","","","",""
"CC5905","1","","","",""
"CC5905","2","","","",""
"CC5905","3","","","",""
"CC6205","1","Catedra","Jueves","14:30","16:00"
"CC6502","1","Catedra","Miércoles","14:30","16:00"
"CC6908","1","Catedra","Miércoles","18:00","19:30"
"CC6909","1","Catedra","Miércoles","18:00","19:30"
"CC6909","2","Catedra","Miércoles","18:00","19:30"
"CC6909","3","Catedra","Miércoles","18:00","19:30"
"CC6909","4","Catedra","Miércoles","18:00","19:30"
"CC6909","5","Catedra","Miércoles","18:00","19:30"
"CC6909","6","Catedra","Miércoles","18:00","19:30"
"CC6909","7","Catedra","Miércoles","18:00","19:30"
"CC6909","8","Catedra","Miércoles","18:00","19:30"
"CC6909","9","Catedra","Miércoles","18:00","19:30"
"CC6909","10","Catedra","Miércoles","18:00","19:30"
"CC6909","11","Catedra","Miércoles","18:00","19:30"
"CC6909","12","Catedra","Miércoles","18:00","19:30"
"CC6909","13","Catedra","Miércoles","18:00","19:30"
"CC7010","1","","","",""
"CC7015","1","","","",""
"CC7020","1","","","",""
"CC7126","1","Catedra","Lunes","16:15","19:30"
"CC7220","1","","","",""
"CC7221","1","Catedra","Miércoles","16:15","17:45"
"CC7221","1","Auxiliar","Viernes","14:30","16:00"
"CC7320","1","Catedra","Jueves","16:15","17:45"
"CC7325","1","","","",""
"CC7515","1","Catedra","Jueves","08:30","10:00"
"CC7910","1","Catedra","Miércoles","16:15","17:45"
"CC7920","1","","","",""
"CC7970","1","","","",""
"CC7980","1","","","",""
"CC8910","1","","","",""
"CC8920","1","","","",""
"CC8930","1","","","",""
"CC8940","1","","","",""
"CC8950","1","","","",""
"CC8960","1","","","",""
"CC63D","1","","","",""
"CC63G","1","","","",""
"CC63H","1","","","",""
"CC63I","1","","","",""
"CC63J","1","","","",""
"CC63K","1","","","",""
"CC66A","1","","","",""
"CC66B","1","","","",""
"CC66C","1","","","",""
"CC66E","1","","","",""
"CC66G","1","","","",""
"CC66H","1","","","",""
"CC66I","1","","","",""
"CC73B","1","","","",""
"CC79E","1","","","",""
"CC79F","1","","","",""
"CC79G","1","","","",""
"CC79H","1","","","",""
"CI3111","1","Catedra","Jueves","10:15","11:45"
"CI3111","1","Auxiliar","Miércoles","10:00","12:00"
"CI3111","2","Catedra","Jueves","10:15","11:45"
"CI3111","2","Auxiliar","Miércoles","10:00","12:00"
"CI3141","1","Catedra","Viernes","12:00","13:30"
"CI3141","1","Laboratorio","Martes","16:00","18:00"
"CI3162","1","Catedra","Jueves","08:30","10:00"
"CI3162","1","Auxiliar","Viernes","14:00","16:00"
"CI3201","1","Catedra","Jueves","10:15","11:45"
"CI3201","1","Auxiliar","Miércoles","10:00","12:00"
"CI3202","1","Catedra","Jueves","10:15","11:45"
"CI3202","1","Auxiliar","Miércoles","10:00","12:00"
"CI3501","1","Auxiliar","Lunes","14:00","16:00"
